,df.text,cl.cluster
380,Natural Grocers by Vitamin Cottage Issues Voluntary Recall For Various Chunks of Energy Products Because They ... http://t.co/VGKtzT1PZW,5
14,Mylan is Expanding its Voluntary Nationwide Recall of Select Lots of Injectable Products Due to the Presence o... http://t.co/9xIw0CELky,4
21,Baxter Initiates Voluntary Recall of Select Product Codes of Peripheral Vascular Patch: Baxter International I... http://t.co/M95V82xsBj,4
41,Teva Parenteral Medicines Initiates Voluntary Nationwide Recall of Select Lots of AdrucilÂ® (fluorouracil Injec... http://t.co/KVlmmnRTo6,4
50,Mylan Initiates Voluntary Nationwide Recall of Select Lots of Injectable Products Due to the Presence of Parti... http://t.co/kO87CzzBBt,4
74,Baxter Initiates Voluntary Recall of Select Lots of IV Solutions Due to the Potential Presence of Particulate ... http://t.co/dPRK28s0qM,4
133,"Heritage Pharmaceuticals Initiates a Nationwide Voluntary Recall of Colistimethate for Injection USP, 150 mg a... http://t.co/vkwkvQXB0k",4
136,"Sagent Pharmaceuticals Initiates a Nationwide Voluntary Recall of Atracurium Besylate Injection, USP, 50mg/5mL... http://t.co/IfSDA7ASAF",4
158,Hospira Issues a Voluntary Global Recall of Multiple Lots of Ketorolac Tromethamine Injection Due to Potential... http://t.co/VvK99TMYoR,4
257,"Baxter Voluntarily Initiates U.S. Recall of Two Lots of Sodium Chloride Injection, USP Due to the Presence of ... http://t.co/VGGnA5wjcD",4
280,Baxter Initiate Voluntary Recall of One Lot of Highly COncentrated Potassium Chloride Injection In The U.S. Du... http://t.co/8Rtv21t0u3,4
282,Baxter Initiate Voluntary Recall of One Lot of Highly COncentrated Potassium Chloride Injection In The U.S. Du... http://t.co/8Rtv21t0u3,4
303,Baxter Initiates Voluntary Recall of Two Lots of Intravia Containers in the U.S. and Canada: Baxter Internatio... http://t.co/HiatzZkChL,4
327,Sagent Pharmaceuticals Initiates a Nationwide Voluntary Recall of Three Lots of Ketorolac Tromethamine Injecti... http://t.co/0THV46MIAQ,4
339,Baxter Initiates U.S. Voluntary Recall of One Lot of Potassium Chloride Injection Due to Shipping Carton Misla... http://t.co/clP9A9NQc9,4
367,Baxter Voluntarily Initiates U.S. Recall of Two Lots of Peritoneal Dialysis Solution Due to Presence of Partic... http://t.co/AHZ03dRRzX,4
368,"Baxter Initiates Voluntary Recall of One Lot of 0.9% Sodium Chloride Injection, USP Intravenous (IV) Solution:... http://t.co/mTYQaOGJst",4
370,Cubist Pharmaceuticals Issues Voluntary Nationwide Recall of Nine Lots of CUBICIN (daptomycin for injection) 5... http://t.co/o6zqJxYNp8,4
372,Cubist Pharmaceuticals Issues Voluntary U.S. Recall Of Certain Lots Of CUBICIN (Daptomycin For Injection) 500 ... http://t.co/9LHIbxikDL,4
400,Baxter Initiates Voluntary Worldwide Recall Of Four Lots Of IV Solutions Due To The Presence Of Particulate Ma... http://t.co/0kGceNwW83,4
444,Alexion Initiates Voluntary Nationwide Recall of Certain Lots of SolirisÂ® (eculizumab) Concentrated Solution f... http://t.co/9N2PVcfZBV,4
38,"CONSUMER ALERT: Undeclared Peanuts in ""Cumin Powder"": New York State Agriculture Commissioner Richard A. Ball ... http://t.co/bfySCagzdb",3
58,CONSUMER ALERT: STAPHYLOCOCCUS AUREUS IN QUESO FRESCO CHEESE: State Agriculture Commissioner Richard A. Ball t... http://t.co/nFTQ5qKaQ0,3
70,Undeclared Peanuts in â€œCumin Powderâ€ù: New York State Agriculture Commissioner Richard A. Ball today alerted co... http://t.co/lb7bOyI6a8,3
80,Best Foods Inc. Issues Allergy Alert on Undeclared Peanuts in Deer Cumin Powder 7 Ounce and Deer Cumin Powder ... http://t.co/yeDRvwJ027,3
83,"Raja Foods Issues Allergy Alert on Undeclared Peanuts in ""Swad Cumin Powder 14 Oz"": Raja Foods of Maspeth, NY ... http://t.co/q6VIgX2CSW",3
85,Maya Overseas Food Inc. Issues Allergy Alert on Undeclared Peanuts in â€œCumin Powderâ€ù: Maya Overseas Food Inc. ... http://t.co/SCR7I7mIWG,3
121,"Badia Spices, Inc. Issues Allergy Alert on Ground Cumin Products for Undeclared Peaunt Protein: Badia Spices, ... http://t.co/jKU2XCaZST",3
139,CON YEAGER SPICE COMPANY'S REVISED VOLUNTARY RECALL FOR GROUND CUMIN AND SEASONING BLENDS (CONTAINING GROUND C... http://t.co/DYwPeg5LuK,3
174,The Spice Mill issues Allergy Alert on Undeclared Peanut Protein in Ground Cumin and Cajun Seasoning Products:... http://t.co/B71PN9mM1f,3
184,"REO Spice &amp; Seasoning, Inc VoluntarilyRrecalls REO Country Style Chili Seasoning Due to Undeclared Peanut Alle... http://t.co/G3M6sAZQBi",3
186,"Aleias Gluten Free Foods, LLC Issues Allergy Alert on Undeclared Peanut Protein in Parmesan Croutons and Class... http://t.co/bcE3EZE3Qk",3
201,"B&amp;M, Inc. Issues Allergy Allert on Undeclared Peanut Protein in Ground Cumin and Other Seasonings Sold at Targ... http://t.co/9R81I93OAi",3
202,"B&amp;M, Inc. Issues Allergy Alert on Undeclared Peanut Protein in Ground Seasonings Sold at Harris Teeter in the ... http://t.co/sYpmUdL5Vk",3
207,NAC Foods Co. Issues An Allergy Alert on Undeclared Peanut Protein on Ground Cumin Product: NAC FOODS of Palis... http://t.co/PLir90eIcE,3
208,"Condies Foods, Inc. Issues Allergy Alert on Undeclared Peanut Protein in Condies Brand â€œBold And Zestyâ€ù and Dr... http://t.co/Hp19HCHc72",3
210,"Zenobia Company LLC. Issues Allergy Alert on Undeclared Peanut Protein in ""My Spice Sage Cumin Groundâ€ù: Zenobi... http://t.co/Ue6jpZeXt5",3
211,"La Flor Products Co., Inc. is Issuing an Allergy Alert on Undeclared Peanuts in â€œLa Florâ€“Ground Cuminâ€ù: La Flo... http://t.co/OiCdqOAgFh",3
212,"Spice nâ€™ More Issues Allergy Alert on Undeclared Peanuts in Cumin Powder ""Casablanca"", â€œSalmaâ€ù, â€œSpice Classâ€ù,... http://t.co/t3PFYzIQvk",3
218,Con Yeager Spice Company Issues a Voluntary Recall for Ground Cumin and Seasoning Blends (containing Ground Cu... http://t.co/u1B9mFoZbD,3
231,"Adams Flavors, Foods &amp; Ingredients Issues Allergy Alert On Undeclared Peanut Protein in Cumin Prooducts: Adams... http://t.co/HEeWwxmYlU",3
240,"Immediate Recall &amp; Allergy Alert Undeclared Peanut Protein in Chili Mix Products: Jardine Foods, Inc. is volun... http://t.co/L1WRQnDAMa",3
243,"Adams Flavors, Foods &amp; Ingredients Issues Allergy Alert On Undeclared Peanut Protein In Cumin Products: Adams ... http://t.co/u6vpxiw9fz",3
253,"Reily Foods Recalls Chili Seasoning Kits Due to Undeclared Peanut and Almond Allergens: Reily Foods Co., New O... http://t.co/pxVQjGphrG",3
336,Consumer Alert: Undeclared Eggs in â€œCoconut Bunâ€ù: New York State Agriculture Commissioner Richard A. Ball toda... http://t.co/4fMUkpRcUW,3
384,"CONSUMER ALERT: UNDECLARED MILK IN Uprising brand Carrot Drink, Beet Drink and in Peanut Punch: New York State... http://t.co/W973lLnHL6",3
15,Santa Barbara Smokehouse Voluntary Recalls Cold Smoked Salmon Because of Possible Health Risk: Santa Barbara S... http://t.co/xE0wOPISFF,2
214,The Santa Barbara Smokehouse Inc Voluntary Recall Because of Possible Health Risk: The Santa Barbara Smokehous... http://t.co/lHhg2xhf2i,2
293,"Oasis Brands, Inc. Retira Productos Lacteos Santa Martha debido a Posible de Riesgos a la Salud: Oasis Brands,... http://t.co/bCQ7kpKvHY",2
310,"Oasis Brands, Inc. Recalls Products Lacteos Santa Martha Because of Possible Health Risk: Oasis Brands, Inc. o... http://t.co/smbnwXA3V1",2
321,"Oasis Brands, Inc Recalls Cuajada en Hoja 12oz because of Possible Health Risk: Oasis Brands, Inc of Miami, FL... http://t.co/BOAvhkvuft",2
374,"Oasis Brands, Inc Recalls Quesito Casero 12oz Because Of Possible Health Risk: Oasis Brands, Inc of Miami, FL ... http://t.co/deYG8LKx0Z",2
3,"La Mexicana Announces the Recall of Spinach Dip for Undeclared Allergens: La Mexicana Food Products of Vernon,... http://t.co/yBQVTyGH6l",1
7,"Boulder Dog Food Company, L.L.C. Voluntarily Recalls Ten Bags of Chicken Sprinkles, 3 oz. With A â€œBest Byâ€ù Dat... http://t.co/glgxje7mbr",1
11,Wisconsin Firm Voluntarily Recalls Potato Salad  Due to the Possible Presence of Listeria Monocytogenes: A Wis... http://t.co/w7H36Vc5qZ,1
13,"Walgreen Co. Recalls Product Because of Possible Mold Risk: Walgreen Co. of Deerfield, IL is recalling Nice! P... http://t.co/bMCjdy7vej",1
16,Ainsworth Pet Nutrition Voluntarily Recalls Five NutrishÂ® Wet Cat Food Varieties For Potentially Elevated Vita... http://t.co/yUi39QlZl1,1
17,Best Cash &amp; Carry is Voluntarily Recalling Green Raisins (Sunderkhani) Because They May Contain Undeclared Sul... http://t.co/9SO44UtnQI,1
22,"The Hemisphere Group, Inc. Recalls Vietnamese LP Cashews Because Of Possible Health Risk: The Hemisphere Group... http://t.co/Wdrpl7FNNe",1
32,"Falcon Trading Company, Inc. dba SunRidge Farms is Voluntarily Recalling Vanilla Candy-Coconut Chews Due To Po... http://t.co/fs9y3h0Jfa",1
33,"Falcon Trading Company, Inc. dba SunRidge Farms Is Voluntarily Recalling Coconut-Medium Shred Due To Possible ... http://t.co/AiqGFCzH7t",1
43,"Kent Nutrition Group, Inc. Initiates Recall of Poultry Feed: Kent Nutrition Group, Inc. is recalling one lot o... http://t.co/csorN4nIpe",1
46,"Hy-Vee Recalls Summer Fresh Pasta Salad: On April 27, 2015, Hy-Vee, Inc. issued a recall for Hy-Vee Summer Fre... http://t.co/XwhQeB7oYD",1
49,"Greystone Foods, LLC voluntarily recalls Todayâ€™s Harvest Field Peas with Snaps, Silver Queen Corn, and Broccol... http://t.co/KccytOF76R",1
54,"Inventure Foods, Inc. Issues Voluntary Recall of its Fresh Frozen Vegetables and Jamba ""At Home"" Smoothie Kits... http://t.co/43Xt8UjhCW",1
60,Royal Frozen Food Recalls Blintzes Due to Undeclared Milk: Royal Frozen Food is recalling its BLINTZES product... http://t.co/FO80ZCo70R,1
65,"Conway Import Co., Inc. is Voluntarily Recalling Conway Organic Sesame Ginger Dressing and Conway Citrus Organ... http://t.co/MeWJeslx7i",1
67,Smiths Food and Drug Stores recall In-store Bakery Carrot Cake: Smiths Food and Drug Stores said today it is r... http://t.co/8IVgzODRc5,1
71,"La Guadalupana to Voluntary Recall Some of its Shelf Food Products from Illinois, Wisconsin and Indiana Stores... http://t.co/Tnh3nuLe1r",1
72,"Retiro Voluntario del Mercado de Algunos Productos La Guadalupana en Comercios de Illinois, Wisconsin e Indian... http://t.co/GbD4uTLMei",1
84,La Terra Fina Expands Voluntary Product Recall to Include a Single Lot of Its 10-Ounce Chunky Spinach Artichok... http://t.co/zyiV2RAeBD,1
95,La Terra Fina Recalls Various Products Due to Supplier Recall of Organic Spinach: Due to receiving a recall no... http://t.co/Ud1BDJrcWK,1
97,"Superior Foods, Inc., of Watsonville, CA is recalling 8,475 Cases Of Simply Balanced 10-oz Frozen Organic Chop... http://t.co/X9wCNqDvrr",1
98,"Twin City Foods, Inc. Recalls Frozen Cadia Organic Cut Spinach, Meijer Organics Chopped Spinach, Wild Harvest ... http://t.co/29y7ILs5RA",1
101,"Carmel Food Group Recalls Rising Moon Organics Frozen Ravioli Due to Possible Health Risk: Hayward, CA. Carmel... http://t.co/8FvHNMueQh",1
104,"Wegmans Announces Recall of (Frozen) Wegmans Organic Food You Feel Good About Just Picked Spinach, 12 Oz. Whic... http://t.co/DKrOwsYKGj",1
108,La Terra Fina Recalls Organic Spinach Dip Sold in Bay Area Costco Clubs: La Terra Fina is issuing a voluntary ... http://t.co/3n69PHdlqi,1
115,Kraft Foods Group Voluntarily Recalls Select Code Dates and Manufacturing Codes of Kraft Macaroni &amp; Cheese Box... http://t.co/HA5WMyA0v2,1
119,Primal Pet Foods Voluntarily Recalls A Single Lot of Raw Frozen Cat Food: Primal Pet Foods is voluntarily reca... http://t.co/95uTAdHLMy,1
135,"Purina Animal Nutrition LLC Recalls One Lot of DuMOR Sheep Formula, 50 lbs. Bags Due to Potentially High Level... http://t.co/rjLRGhIdoN",1
138,WhiteWave Foods Voluntarily Recalls Horizon Cheddar Sandwich Crackers: WhiteWave Foods is voluntarily recallin... http://t.co/2lONy3tSGW,1
155,"Tuffy's Pet Foods, Inc. Issues Voluntary Recall of a Limited Quantity of Nutrisca Dry Dog Food Because of Poss... http://t.co/opPt6QHMSg",1
183,"Freeland Foods Voluntarily Recalls Sunflower Seed Due to Potential Health Risk: Freeland Foods, Inc. of San Jo... http://t.co/dy1dIVISSf",1
196,"Freeland Foods Voluntarily Recalls Spicy Seed Due To Potential Health Risk: Freeland Foods, Inc. of San Jose, ... http://t.co/lHqQOzkdZ5",1
198,"Inventure Foods, Inc. Issues Voluntary Recall Of Its Rader Farms Fresh Start Smoothie Blend, Sunrise Refresh F... http://t.co/3C19RiVSWp",1
221,DICK'S Sporting Goods Voluntarily Recalls Fitness Gear Inversion Table: DICK'S Sporting Goods (NYSE: DKS) has ... http://t.co/S1aQmrPlRY,1
228,"Barkworthies Issues Nationwide Recall of Chicken Vittles Dog Chews: Barkworthies of Richmond, VA is recalling ... http://t.co/MG5mZY0dKz",1
234,"Bleating Heart Cheese Expanding Voluntary Recall To Include All Cheese Produced Between February 14, 2014 To S... http://t.co/gwzT7hjbTX",1
241,American Roland Food Corp. Recalls Two Lots of Roland(R) Bruschetta: American Roland Food Corp. announced toda... http://t.co/XSF2zdfU8K,1
245,Farm Country Cheese House Recalls Raw Milk Cheddar Because Of Possible Contamination With Listeria Monocytogen... http://t.co/41D6VckJBJ,1
256,"Tristar Equine Issues Voluntary Recall of Gastrotec: Tristar Equine Marketing, LLC is voluntarily recalling al... http://t.co/3P87cRvqL0",1
261,"Del Monte Fresh Produce N.A., Inc. Voluntarily Recalls Fresh Cut Fruit Containing Gala Red Apple in a Few Stat... http://t.co/4lB1KQfScv",1
262,Global Garlic Inc. Recalls De Mi Pais Products Cuajada Fresca (Fresh Curd) and Cuajada Olanchana (Fresh Curd) ... http://t.co/hoRzTPh6de,1
268,Overhill Farms Voluntarily Recalls Open Nature Chile Cheese Enchiladas Sold At Safeway Stores Nationwide Due T... http://t.co/X8lzUJK7Tz,1
275,"URGENT PRODUCT RECALL NOTICE: Acme Smoked Fish Corporation of Brooklyn, NY is voluntarily recalling 564 pounds... http://t.co/tpYlefRukY",1
276,Flying Cow Creamery Voluntarily Recalls Yogurt: Flying Cow Creamery is voluntarily recalling one lot of whole ... http://t.co/Y56a7dOrxa,1
278,Natura Pet Recalls 5 Lots of Dry Cat and Dry Ferret Food due to Vitamin Insufficiency: Natura Pet Products has... http://t.co/cFq5mH2Mqt,1
288,"Great American Appetizers, Inc. Recalls Hyvee Mozzarella Cheese Sticks Due To Undeclared Soy Flour, Yellow #5,... http://t.co/ao9pRGdlcf",1
334,Gold Star Smoked Fish Corp. Voluntarily Recalls Cold Smoke Steelhead Due to Possible Listeria Monocytogenes Co... http://t.co/BHSh2VxNik,1
338,An Alert on Uneviscerated Dried Roach (Vobla): S&amp;S Food Import corp. is recalling all packages of Uneviscerate... http://t.co/3YOBMIQCNd,1
341,"Taylor Farms Pacific, Inc. voluntarily recalls Roma Tomatoes due to potential Salmonella contamination: Taylor... http://t.co/rxjR5LQXnD",1
345,Plum Organics Voluntarily Recalls Little Cremes Organic Rice Milk Snacks Due to Potential Choking Hazard: Plum... http://t.co/hgBSNEvBEh,1
353,4C Foods Corp. Voluntarily Recalls 4C Grated Cheese Homestyle Parmesan Because of Salmonella Contamination: 4C... http://t.co/vxYtih36T7,1
354,"Regeneca Worldwide, a Division of Vivaceuticals, Inc  Expands the Voluntarily Recall of Regeneslim Appetite Co... http://t.co/Z8QNMSBmUS",1
356,Kraft Foods Group Voluntarily Recalls Select Varieties of Regular Kraft American Singles Pasteurized Prepared ... http://t.co/UGu5rPGKgf,1
357,Dole Fresh Vegetables Announces Allergy Alert and Voluntary Limited Recall of DOLE-branded Spinach Due to Poss... http://t.co/jrfDp4EvGT,1
364,"nSPIRED Natural Foods, Inc. Voluntarily Recalls Certain Retail Lots Of Arrowhead MillsÂ® Peanut Butters, Marana... http://t.co/xVJKi6kfMR",1
371,"Regeneca Worldwide, A Division Of Vivaceuticals, Inc Voluntarily Recalls RegenESlim Appetite Control Capsules ... http://t.co/nwHxGLtjVj",1
378,"Wawona Packing Co. Expands Its Voluntary Recall of Fresh, Whole Peaches, Plums, Nectarines, and Pluots Because... http://t.co/YwtHRYv1ek",1
379,CDPH Warns Consumers Not to Eat VR Green Farms Jarred Food Products Because of Botulism Risk: California Depar... http://t.co/pvejABuYgJ,1
381,SW Wisc Dairy Goat Products Coop issues voluntary recall of Raw Goat Milk Mild Cheddar Cheese Lot Code 103-114... http://t.co/BU67Dq68MN,1
387,Carmel Food Group Announces a Voluntary Recall of One Code Date of Mislabeled Butternut Squash Ravioli Due to ... http://t.co/h8I7zoGwer,1
391,"Texas Firm Recalls Ready-to-eat Products For Possible Listeria Contamination: Great American Marketing, a Hous... http://t.co/ioXrXaBWJG",1
394,"Wegmans Issues Voluntary Recall of Bakery Products That May Contain Fresh Peaches, Nectarines and Plums Suppli... http://t.co/7Fau2xolBn",1
395,"Wawona Packing Co. Takes Precautionary Step of Voluntarily Recalling Fresh, Whole Peaches, Plums, Nectarines, ... http://t.co/zogkne6Xci",1
398,"Mars Food North America Voluntarily Recalls Specific Batch and Item Number Representing Less Than 2,000 Cases:... http://t.co/h4ZlN00yrI",1
409,"Oriya Organics, LLC Voluntarily Recalls Oriya Organics Superfood Protein Medley Containing Sprouted Chia Seed ... http://t.co/kO6qxfUeOM",1
416,Kraft Foods Group Voluntarily Recalls Small Quantity of Velveeta Original: Kraft Foods Group is voluntarily re... http://t.co/HowvzOOw5c,1
418,Vita Food Products Issues Voluntary Recall of 4oz Vita Classic Premium Sliced Smoked Atlantic Salmon Due to Po... http://t.co/j7eQluid1h,1
423,"Smith's Country Cheese, Inc.  Voluntarily RECALLS Waxed Gouda Wheels BECAUSE OF POSSIBLE HEALTH RISK: Smith's ... http://t.co/eEF5pt3Ep8",1
426,La Finquita Cheese Issues An Allergy Alert Due To Potential Peanut And Tree Nut Contamination In Fresh Farmers... http://t.co/6BRlSbL3nb,1
438,Ocean Spray Voluntarily Recalls Limited Quantity of 8-ounce Greek Yogurt Covered CraisinsÂ® Dried Cranberries W... http://t.co/Tr2WqqSV87,1
440,Glutino Voluntarily Recalls Glutino Rosemary and Olive Oil Snack Crackers (4.25 oz. and 20 oz.) Because of Pos... http://t.co/uCKWqPbUAG,1
442,"Hillâ€™s Pet Nutrition, Inc. Voluntarily Recalls 62 Bags of â€œScience DietÂ® Adult Small &amp; Toy Breedâ„¢â€ù Dry Dog Foo... http://t.co/ajw4W3yOtZ",1
443,"Princess House, Inc. Voluntarily Recalls Marissa Tangerine Appetizer Plates Due to Cadmium and Lead Levels: A ... http://t.co/tATWPQGsM9",1
459,Kraft Foods Group Voluntarily Recalls Select Cottage Cheese Products Due to Out-of-Standard Storage Temperatur... http://t.co/VQVfypPCcs,1
464,"BravoÂ® Issues Nationwide Recall of Pet Food for Dogs and Cats: Manchester, CT â€“ Bravo is recalling select lots... http://t.co/MDZCeYNj13",1
473,STE Fromagere Du Livradois Voluntarily Recalls Raclette Cheese and Montboissie Cheese for Possible Health Risk... http://t.co/263wMFg5SU,1
483,Bacai Inc. Issues Voluntary Worldwide Recall of LiteFit USA: Bacai is voluntarily recalling 13165 lot (lot num... http://t.co/DazyVDYmPA,1
